"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/1ecea857-50bb-4bfd-8d24-048ad106fb2a","TikTok Host Livestream & Talent","Retail","Marketing","Livestreamer","MONTH","4000000","6000000","Marketing Communications, E-commerce, Live Streaming, skincare, Facial, Sales and Marketing","FULL_TIME","ONSITE","DIPLOMA","3"
"https://glints.com/id/opportunities/jobs/1eb9e3e0-e53f-4250-b1ac-01b792e79d9e","Staff Packing Alat Tulis (Part Time)","Apparel & Fashion","Technician & General Worker","Packing Worker","MONTH","1500000","1800000","Packing, Communication Skills, Teamwork","FULL_TIME","ONSITE","SECONDARY_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/1ea45c6b-432f-4dae-9934-0b4e9646e277","Teknisi IKR","Telecommunications","Mechanical Design & Manufacturing","Maintenance Engineer","N/A","0","0","Telecommunications, FTTH, Electrical Maintenance","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1e937be1-a500-4844-b219-988e6beff8ac","SECURITY","Cosmetics","Services Industry","Security Guard","MONTH","4500000","5200000","Security Management, Communicative, KTA Security, Information Security, Discipline","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1e4830d2-8c62-40f5-b4a3-ddf5ab174a23","Supir Pribadi","Food Production","Supply Chain, Logistics & Transportation","Personal Driver","MONTH","2570000","2700000","Customer Service, Safe Driving, Driving","CONTRACT","ONSITE","HIGH_SCHOOL","3"
"https://glints.com/id/opportunities/jobs/1e46aeaf-54b0-498e-a95d-ff6daba69102","Staf Finance Blitar","Human Resources","Accounting","Accountant","MONTH","2000000","3000000","MYOB, Microsoft Excel, Tax Accounting, Accurate, Financial Analysis, Accounting","FULL_TIME","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/1e2f5506-1ae2-4a71-b567-4885dc6227ef","Spesialis eCommerce Marketing","Publishing","Marketing","Marketing Professionals","MONTH","3000000","5000000","Microsoft Office, Live Streaming, Affiliate Marketing, E-commerce, Sales Analysis, Negotiation Skills, Search Engine Optimization (SEO)","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/1e1803ed-9c83-4d6b-811a-7452cd5d3692","Drafter","Telecommunications","Building & Real Estate","Drafter","MONTH","5729876","6500000","SketchUp, AutoCAD, MEP","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/1dfe4571-8634-42e0-b729-9f494a3ffece","Staff Administrasi Divisi Engineering","Building Materials","Administrative & HR","Administrative Staff","N/A","0","0","Pemahaman Sparepart, Communication Skills, Microsoft Excel","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1decd32a-8b4f-4db4-a692-9d2d2861d143","Sales Promotion Girl SPG","Outsourcing/Offshoring","Retail","Sales Promoter","MONTH","3000000","4000000","Teamwork, Sales and Marketing, Communication Skills","FULL_TIME","ONSITE","DIPLOMA","0"
